Segment;Region; Product ; Discount Band ;  Units Sold  ; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ;   Sales  ;  COGS  ;  Profit  ;Date;Month Number; Month Name ;Year
Government;Banten; Training ; None ;  $1,618.50  ; $3.00 ; $20.00 ; $32,370.00 ;;  32,370.00  ;  $16,185.00  ;  $16,185.00  ;01/01/2019;1; January ;2019
Government;West Java; Training ; None ;  $1,321.00  ; $3.00 ; $20.00 ; $26,420.00 ;;  $26,420.00  ;  $13,210.00  ;  $13,210.00  ;01/01/2019;1; January ;2019
Midmarket;Jakarta; Training ; None ;  $2,178.00  ; $3.00 ; $15.00 ; $32,670.00 ; $-   ;  $32,670.00  ;  $21,780.00  ;  $10,890.00  ;06/01/2019;6; June ;2019
Midmarket;West Java; Training ; None ;  $888.00  ; $3.00 ; $15.00 ; $13,320.00 ; $-   ;  $13,320.00  ;  $8,880.00  ;  $4,440.00  ;06/01/2019;6; June ;2019
Midmarket;Yogyakarta; Training ; None ;  $2,470.00  ; $3.00 ; $15.00 ; $37,050.00 ; $-   ;  $37,050.00  ;  $24,700.00  ;  $12,350.00  ;06/01/2019;6; June ;2019
Government;West Java; Training ; None ;  $1,513.00  ; $3.00 ; $350.00 ; $529,550.00 ; $-   ;  $529,550.00  ;  $393,380.00  ;  $136,170.00  ;12/01/2019;12; December ;2019
Midmarket;West Java; Education ; None ;  $921.00  ; $5.00 ; $15.00 ; $13,815.00 ; $-   ;  $13,815.00  ;  $9,210.00  ;  $4,605.00  ;03/01/2019;3; March ;2019
Channel Partners;Banten; Education ; None ;  $2,518.00  ; $5.00 ; $12.00 ; $30,216.00 ; $-   ;  $30,216.00  ;  $7,554.00  ;  $22,662.00  ;06/01/2019;6; June ;2019
Government;Jakarta; Education ; None ;  $1,899.00  ; $5.00 ; $20.00 ; $37,980.00 ; $-   ;  $37,980.00  ;  $18,990.00  ;  $18,990.00  ;06/01/2019;6; June ;2019
Channel Partners;West Java; Education ; None ;  $1,545.00  ; $5.00 ; $12.00 ; $18,540.00 ; $-   ;  $18,540.00  ;  $4,635.00  ;  $13,905.00  ;06/01/2019;6; June ;2019
Midmarket;Yogyakarta; Education ; None ;  $2,470.00  ; $5.00 ; $15.00 ; $37,050.00 ; $-   ;  $37,050.00  ;  $24,700.00  ;  $12,350.00  ;06/01/2019;6; June ;2019
Small Business;Yogyakarta; Education ; None ;  $958.00  ; $5.00 ; $300.00 ; $287,400.00 ; $-   ;  $287,400.00  ;  $239,500.00  ;  $47,900.00  ;08/01/2019;8; August ;2019
Government;West Java; Education ; None ;  $2,146.00  ; $5.00 ; $7.00 ; $15,022.00 ; $-   ;  $15,022.00  ;  $10,730.00  ;  $4,292.00  ;09/01/2019;9; September ;2019
Midmarket;East Java; Education ; None ;  $615.00  ; $5.00 ; $15.00 ; $9,225.00 ; $-   ;  $9,225.00  ;  $6,150.00  ;  $3,075.00  ;12/01/2019;12; December ;2019
Government;Banten; Loan ; None ;  $292.00  ; $10.00 ; $20.00 ; $5,840.00 ; $-   ;  $5,840.00  ;  $2,920.00  ;  $2,920.00  ;02/01/2019;2; February ;2019
Midmarket;Yogyakarta; Loan ; None ;  $974.00  ; $10.00 ; $15.00 ; $14,610.00 ; $-   ;  $14,610.00  ;  $9,740.00  ;  $4,870.00  ;02/01/2019;2; February ;2019
Channel Partners;Banten; Loan ; None ;  $2,518.00  ; $10.00 ; $12.00 ; $30,216.00 ; $-   ;  $30,216.00  ;  $7,554.00  ;  $22,662.00  ;06/01/2019;6; June ;2019
Government;West Java; Loan ; None ;  $1,006.00  ; $10.00 ; $350.00 ; $352,100.00 ; $-   ;  $352,100.00  ;  $261,560.00  ;  $90,540.00  ;06/01/2019;6; June ;2019
